State,Total,ChargePoint Network,Tesla Destination,Non-Networked,Blink Network,FLO,Tesla,eVgo Network,Other
CA,15 312,10 385,734,849,681,459,396,358,1 450
NY,3 632,1 885,471,268,160,58,83,25,682
FL,3 248,13 63,341,229,599,1,145,27,543
TX,2 943,1 422,298,171,383,0,137,64,468
MA,2 673,2 177,51,99,76,25,46,19,180
CO,2 044,1 315,94,165,228,3,37,32,170
WA,2 009,1 003,113,173,324,26,50,30,290
GA,1 776,1 012,151,134,202,2,45,32,198
PA,1 578,822,98,195,153,10,72,24,204
MD,1 558,537,53,185,336,0,52,29,366
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,